Original,Suspeito,Score
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu zenith 60hp,91
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu vector 197hp,78
motor diesel tohatsu evo zenith 16hp,motor de popa tohatsu evo 168hp,75
motor de popa yamaha evo dash 155hp,motor de popa yamaha mako 108hp,79
motor de popa yamaha mako 108hp,motor de popa yamaha evo dash 155hp,79
motor diesel parsun boost helix velocity 146hp,motor diesel parsun velocity abyss orca 235hp,75
motor de popa volvo hydro dash 256hp,motor de popa volvo maré 69hp,78
motor diesel tohatsu vector 197hp,motor diesel tohatsu zenith 60hp,80
motor diesel tohatsu vector 197hp,motor diesel tohatsu evo zenith 16hp,78
motor diesel tohatsu zenith 60hp,motor diesel tohatsu evo zenith 16hp,91
motor diesel tohatsu zenith 60hp,motor diesel tohatsu vector 197hp,80
motor de popa volvo maré 69hp,motor de popa volvo magnum 276hp,87
motor de popa volvo maré 69hp,motor de popa volvo hydro dash 256hp,78
motor elétrico yamaha orca storm zenith 11hp,motor elétrico tohatsu zenith oceanic 113hp,80
motor elétrico tohatsu zenith oceanic 113hp,motor elétrico yamaha orca storm zenith 11hp,80
motor de popa volvo magnum 276hp,motor de popa volvo maré 69hp,87
motor de popa tohatsu evo 168hp,motor diesel tohatsu evo zenith 16hp,75
motor diesel parsun velocity abyss orca 235hp,motor diesel parsun boost helix velocity 146hp,75
cabo de nylon delta vortex,cabo de nylon delta zen vortex storm,84
cabo de nylon bruce nexus,cabo de nylon bruce core,82
cabo de nylon bruce nexus,cabo de nylon bruce flux hydro,76
cabo de nylon delta zen vortex storm,cabo de nylon delta vortex,84
cabo de nylon danforth prime,cabo de nylon danforth orca aero,80
cabo de nylon danforth prime,cabo de nylon danforth titan poseidon,77
cabo de nylon danforth prime,cabo de nylon danforth kinetic,76
cabo de nylon danforth prime,cabo de nylon danforth magnum vox,75
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce marlin hydra,84
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce titan,84
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce dash titan pulse,78
boia de arqueamento bruce tidal marlin,boia de arqueamento danforth flux tidal,75
boia de arqueamento bruce titan,boia de arqueamento bruce dash titan pulse,85
boia de arqueamento bruce titan,boia de arqueamento bruce tidal marlin,84
boia de arqueamento bruce titan,boia de arqueamento bruce marlin hydra,81
boia de arqueamento bruce titan,boia de arqueamento bruce nexus abyss,79
corrente bruce current,corrente bruce nautic evo,77
boia de arqueamento danforth aero dash,boia de arqueamento danforth torque,79
boia de arqueamento danforth aero dash,boia de arqueamento danforth tidal zen swift,76
boia de arqueamento danforth aero dash,boia de arqueamento danforth flux tidal,75
corrente danforth tidal,corrente danforth hydro,83
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth flux tidal,87
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth torque,78
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth aero dash,76
boia de arqueamento delta force vox,boia de arqueamento delta nexus,85
boia de arqueamento delta force vox,boia de arqueamento delta zen boost vortex,78
boia de arqueamento delta force vox,boia de arqueamento danforth core vortex,77
boia de arqueamento danforth flux tidal,boia de arqueamento danforth tidal zen swift,87
boia de arqueamento danforth flux tidal,boia de arqueamento danforth torque,81
boia de arqueamento danforth flux tidal,boia de arqueamento danforth core vortex,76
boia de arqueamento danforth flux tidal,boia de arqueamento bruce tidal marlin,75
boia de arqueamento delta nexus,boia de arqueamento delta force vox,85
boia de arqueamento delta nexus,boia de arqueamento bruce nexus abyss,79
boia de arqueamento delta nexus,boia de arqueamento delta peak boost thrust,78
boia de arqueamento delta nexus,boia de arqueamento bruce titan,77
cabo de nylon danforth orca aero,cabo de nylon danforth prime,80
corrente delta axis,corrente delta boost,82
cabo de nylon danforth kinetic,cabo de nylon danforth magnum vox,76
cabo de nylon danforth kinetic,cabo de nylon danforth prime,76
corrente danforth hydro,corrente danforth tidal,83
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce tidal marlin,84
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce titan,81
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce dash titan pulse,75
corrente delta boost,corrente delta axis,82
boia de arqueamento delta zen boost vortex,boia de arqueamento delta peak boost thrust,80
boia de arqueamento delta zen boost vortex,boia de arqueamento delta force vox,78
boia de arqueamento delta zen boost vortex,boia de arqueamento delta nexus,77
boia de arqueamento danforth core vortex,boia de arqueamento danforth torque,85
boia de arqueamento danforth core vortex,boia de arqueamento delta force vox,77
boia de arqueamento danforth core vortex,boia de arqueamento danforth flux tidal,76
corrente bruce nautic evo,corrente bruce current,77
cabo de nylon danforth titan poseidon,cabo de nylon danforth prime,77
cabo de nylon bruce flux hydro,cabo de nylon bruce nexus,76
boia de arqueamento delta peak boost thrust,boia de arqueamento delta zen boost vortex,80
boia de arqueamento delta peak boost thrust,boia de arqueamento delta nexus,78
boia de arqueamento danforth torque,boia de arqueamento danforth core vortex,85
boia de arqueamento danforth torque,boia de arqueamento danforth flux tidal,81
boia de arqueamento danforth torque,boia de arqueamento danforth aero dash,79
boia de arqueamento danforth torque,boia de arqueamento danforth tidal zen swift,78
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce titan,85
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce tidal marlin,78
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce marlin hydra,75
boia de arqueamento bruce nexus abyss,boia de arqueamento bruce titan,79
boia de arqueamento bruce nexus abyss,boia de arqueamento delta nexus,79
boia de arqueamento bruce barracuda,boia de arqueamento bruce titan,76
cabo de nylon bruce core,cabo de nylon bruce nexus,82
cabo de nylon danforth magnum vox,cabo de nylon danforth kinetic,76
cabo de nylon danforth magnum vox,cabo de nylon danforth prime,75
